Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2017-015,(5) First Construction Document Issued,495 Cambridge,495,Cambridge,St,94134,5592A,071,9,Portola,Excelsior,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-10-12T00:00:00.000,2019-04-03T00:00:00.000,2019-04-03T00:00:00.000,2021-05-27T00:00:00.000,"Cambridge Estates Holding, LLC",,,2013.1711,{'url': 'http://propertymap.sfplanning.org/?search=2013.1711'},"2013.1711CUA,2013.1711E,2013.1711TDM,2013.1711U",2017-05-18T00:00:00.000,On-site BMR Project,54,7,47,13.00,0,0,0,0,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,37.725718533000,-122.417319634999,"{'latitude': '37.725718533', 'longitude': '-122.417319634999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-031,(5) First Construction Document Issued,2500 Turk St,2500,Turk,St,94118,1107,008,1,Lone Mountain/USF,Inner Richmond,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-10-16T00:00:00.000,2019-03-06T00:00:00.000,2019-03-06T00:00:00.000,2021-04-29T00:00:00.000,University of San Francisco,,,2015-000058PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-000058PRJ'},,2018-03-15T00:00:00.000,Exempt Project (student housing),155,0,155,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.779098833000,-122.451448079999,"{'latitude': '37.779098833', 'longitude': '-122.451448079999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-001,(4) Site Work Permit Issued,1965 Market,1965,Market,St,94103,3534,058,8,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,"Ownership, Rental",,,2019-07-11T00:00:00.000,,2020-01-09T00:00:00.000,2022-03-04T00:00:00.000,Keller Grover Properties,,,2015-002825PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-002825PRJ'},"2015-002825CUA,2015-002825ENV,2015-002825PPA",2018-01-18T00:00:00.000,On-site BMR Project,96,14,82,15.00,0,0,0,0,0,0,0,0,0,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,37.769431478000,-122.425774664999,"{'latitude': '37.769431478', 'longitude': '-122.425774664999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-020,(5) First Construction Document Issued,30 Otis St,30,Otis,St,94103,3505,"010, 012, 013, 016, 018",6,Mission,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2019-01-22T00:00:00.000,2019-08-09T00:00:00.000,2019-08-09T00:00:00.000,2021-10-02T00:00:00.000,Align Real Estate,,,2015-010013PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-010013PRJ'},"2015-010013DNX,2015-010013ENV,2015-010013GPR,2015-010013IKA,2015-010013PPA,2015-010013SHD,2015-010013TDM,2015-010013VAR,2016-003379PRV",2018-09-27T00:00:00.000,Fee Payment,416,0,416,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.773009909000,-122.419332740999,"{'latitude': '37.773009909', 'longitude': '-122.419332740999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2014-003,(6) Complete,Transbay Block 8,250,Fremont,St,94105,3737,040,6,Financial District/South Beach,Financial District,OCII,OCII Inclusionary Rental Program,Transbay,New Construction,Rental,,2016-10-28T00:00:00.000,2016-07-13T00:00:00.000,2016-05-12T00:00:00.000,2016-05-12T00:00:00.000,2020-04-09T00:00:00.000,Related California,Tenderloin Neighborhood Development Corporation,"T8 Urban Housing Associates, LLC",Not Applicable,,,,,350,70,280,20.0,0,20,32,18,0,0,0,0,1,1bd,70,0,0,0,0,0,0,0,0,11,59,0,0,0,0,0,0,0,0,0,0,0,37.787902320000,-122.394359885999,"{'latitude': '37.78790232', 'longitude': '-122.394359885999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-006,(5) First Construction Document Issued,950 Gough,950,Gough,St,94102,0744,021,5,Western Addition,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-05-11T00:00:00.000,2019-05-03T00:00:00.000,2019-05-03T00:00:00.000,2020-10-07T00:00:00.000,"Maracor Development, Inc.",,,2012.0506,{'url': 'http://propertymap.sfplanning.org/?search=2012.0506'},"2012.0506C,2012.0506E,2012.0506GEN,2012.0506K,2012.0506U,2012.0506VAR",2016-01-07T00:00:00.000,On-site BMR Project,95,11,84,12.00,0,2,7,2,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,37.782241112000,-122.423699081999,"{'latitude': '37.782241112', 'longitude': '-122.423699081999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-089,(2) Predevelopment Feasibility,Transbay Block 2 East,,Address not yet assigned,,94105,0,0,6,Financial District/South Beach,Financial District,OCII,Multifamily Rental Program,Transbay,New Construction,Rental,,2023-09-01T00:00:00.000,,,2023-09-01T00:00:00.000,2025-08-01T00:00:00.000,Mercy Housing California,,Transbay 2 Family L.P.,Not Applicable,,,,,101,100,1,99.00,0,0,36,35,29,0,0,0,1,2bd,100,0,0,20,0,20,0,20,10,0,0,0,50,20,0,0,0,0,0,0,0,0,37.789400591000,-122.392406380999,"{'latitude': '37.789400591', 'longitude': '-122.392406380999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-015,(1) Preliminary Phase,Potrero Yard Affordable Housing,2500,Mariposa,St,94110,3971,001,10,Mission,Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,Developer not yet selected,,,Not Yet Available,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.763730000000,-122.409330000000,"{'latitude': '37.76373', 'longitude': '-122.40933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-062,(6) Complete,25 Grace,23-25,Grace,St,94103,3509,"024, 025",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2018-03-30T00:00:00.000,2018-07-03T00:00:00.000,2018-07-03T00:00:00.000,2020-05-20T00:00:00.000,D-Sheme Studio Architects,,,2014-001736PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-001736PRJ'},"2014-001736ENV,2014-001736PPA",2017-10-13T00:00:00.000,Fee Payment,11,0,11,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.775175229000,-122.414725952999,"{'latitude': '37.775175229', 'longitude': '-122.414725952999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-005,(3) Design with Entitlements Approved,828 Brannan St,828,Brannan,St,94103,3780,004E,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2021-04-23T00:00:00.000,2023-06-17T00:00:00.000,"828 Brannan Partners, LLC (c/o The S. Hekemian Group)",,,2015-015789PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-015789PRJ'},,2019-04-25T00:00:00.000,On-site BMR Project,50,9,41,18.00,0,2,3,4,0,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,37.772610000000,-122.404053000000,"{'latitude': '37.77261', 'longitude': '-122.404053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-022,(3) Design with Entitlements Approved,430 Eddy,430,Eddy,St,94109,0334,008,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,,2018-03-16T00:00:00.000,2020-05-09T00:00:00.000,430 Eddy Associates LLC,,,2014.0400,{'url': 'http://propertymap.sfplanning.org/?search=2014.0400'},"2014.0400CUA,2014.0400E,2014.0400PPA,2014.0400SHD,2014.0400U",2016-03-17T00:00:00.000,On-site BMR Project,23,3,20,13.00,0,3,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.783936713000,-122.414833879999,"{'latitude': '37.783936713', 'longitude': '-122.414833879999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-068,(3) Design with Entitlements Approved,4840 Mission,4840,Mission,St,94112,6959,019,11,Outer Mission,Outer Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2021-05-01T00:00:00.000,,,2021-05-01T00:00:00.000,2022-12-15T00:00:00.000,BRIDGE Housing Corporation,,"4840 Mission Housing Associates, L.P.",2016-012545PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-012545PRJ'},"2016-012545ENV,2016-012545PPA,2016-012545PRV",,,137,135,2,99.00,0,0,58,61,16,0,0,7,2,2bd; 2bd,135,0,0,0,0,0,35,0,14,33,27,0,0,29,21,0,11,0,0,0,0,0,37.720693195000,-122.438500005999,"{'latitude': '37.720693195', 'longitude': '-122.438500005999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-049,(1) Preliminary Phase,88 Bluxome St (Land Dedication Site),88,Bluxome,St,94107,3786,037,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,Developer not yet selected,,,Not Yet Available,,,,,100,99,1,99.00,0,0,0,0,0,0,0,0,0,,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,37.776080000000,-122.397930000000,"{'latitude': '37.77608', 'longitude': '-122.39793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-016,(5) First Construction Document Issued,70-72C Belcher,70-72C,Belcher,St,94114,3537,069,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2016-01-22T00:00:00.000,2019-03-15T00:00:00.000,,,2019-03-15T00:00:00.000,2021-02-01T00:00:00.000,San Francisco Community Land Trust,,San Francisco Community Land Trust,2019-022236PRL,{'url': 'http://propertymap.sfplanning.org/?search=2019-022236PRL'},,,,5,5,0,100,0,0,0,5,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,37.768105919000,-122.430443995999,"{'latitude': '37.768105919', 'longitude': '-122.430443995999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-131,(6) Complete,1801 Mission,1801,Mission,St,94110,3548,039,9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2017-08-01T00:00:00.000,2018-06-04T00:00:00.000,2018-06-04T00:00:00.000,2020-09-01T00:00:00.000,Corvorn LLC,,,2009.1011,{'url': 'http://propertymap.sfplanning.org/?search=2009.1011'},,2016-11-14T00:00:00.000,On-site BMR Project,17,2,15,12.00,0,0,1,1,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37.768140991000,-122.419684459999,"{'latitude': '37.768140991', 'longitude': '-122.419684459999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1990-009,(2) Predevelopment Feasibility,Senator Residence,519,Ellis,St,94102,0334,"028, 028A",6,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,0,Rehabilitation,Rental,,,,,,,Community Housing Partnership,,,Not Applicable,,,,,89,89,0,100,71,0,18,0,0,0,0,0,0,,89,0,0,89,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,37.784316395000,-122.414861156999,"{'latitude': '37.784316395', 'longitude': '-122.414861156999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-023,(4) Site Work Permit Issued,Eastern Park Apartments,711,Eddy,St,94102,0742,014,6,Tenderloin,Downtown/Civic Center,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2020-02-01T00:00:00.000,,,2020-02-01T00:00:00.000,2022-03-27T00:00:00.000,Northern California Presbyterian Homes and Services,,Northern California Presbyterian Homes and Services,2018-004679PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2018-004679PRJ'},,,,202,201,1,100,0,0,201,0,0,0,0,0,1,1bd,0,201,0,0,0,0,0,0,0,0,20,0,181,0,0,0,0,0,0,0,0,0,37.782767679000,-122.419564577999,"{'latitude': '37.782767679', 'longitude': '-122.419564577999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-038,(5) First Construction Document Issued,289 9th Ave/800 Clement,289,9th,Ave,94118,1424,017,1,Inner Richmond,Inner Richmond,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2018-12-07T00:00:00.000,2020-08-01T00:00:00.000,,,2020-08-01T00:00:00.000,2021-06-01T00:00:00.000,Chinatown Community Development Center,,"CCDC Small Sites, LLC",Not Applicable,,,,,16,16,0,100,14,0,0,2,0,0,0,0,0,,2,14,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,37.783036793000,-122.467869501999,"{'latitude': '37.783036793', 'longitude': '-122.467869501999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-021,(3) Design with Entitlements Approved,655 4th St,655,4th,St,94107,3787,"026, 028",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,,,2021-06-18T00:00:00.000,2023-08-12T00:00:00.000,"655 4th Owner, LLC",,,2014-000203PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-000203PRJ'},,2019-06-20T00:00:00.000,Fee Payment,960,0,960,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.777610000000,-122.395300000000,"{'latitude': '37.77761', 'longitude': '-122.3953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-108,(1) Preliminary Phase,Transbay Block 4 (Tower Mixed-Income),0,Address not yet assigned,,94105,0,0,6,Financial District/South Beach,Financial District,OCII,OCII Inclusionary Rental Program,Transbay,New Construction,Rental,,2023-01-01T00:00:00.000,,,2023-01-01T00:00:00.000,2027-12-01T00:00:00.000,Hines,Urban Pacific,4 Transbay Partners,Not Applicable,,,,,340,135,205,40.0,0,0,69,40,26,0,0,0,0,,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,45,45,0,0,0,37.790008674000,-122.393507961999,"{'latitude': '37.790008674', 'longitude': '-122.393507961999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-054,(4) Site Work Permit Issued,1900 Mission,1900,Mission,St,94103,3554,001,9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2019-09-19T00:00:00.000,,2020-03-19T00:00:00.000,2022-05-13T00:00:00.000,"PRC Series 2, LLC",,,2013.1330,{'url': 'http://propertymap.sfplanning.org/?search=2013.1330'},,2017-12-06T00:00:00.000,On-site BMR Project,12,1,11,8.00,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.793739000000,-122.392570000000,"{'latitude': '37.793739', 'longitude': '-122.39257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-008,(3) Design with Entitlements Approved,667 Folsom,667,Folsom,St,94107,3750,081,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,,,2019-01-04T00:00:00.000,2021-02-27T00:00:00.000,"Reuben, Junius & Rose, LLP",,,2015-002604PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-002604PRJ'},"2015-002604ENV,2015-002604ENX,2015-002604PPA",2017-01-05T00:00:00.000,Fee Payment,230,0,230,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.784177151000,-122.397768308999,"{'latitude': '37.784177151', 'longitude': '-122.397768308999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-076,(5) First Construction Document Issued,390 1st,390,1st,St,94105,3749,058,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-05-04T00:00:00.000,2018-11-28T00:00:00.000,2018-11-28T00:00:00.000,2020-06-30T00:00:00.000,John Kevlin,,,2014.1041,{'url': 'http://propertymap.sfplanning.org/?search=2014.1041'},"2014.1041CUA,2014.1041DNX,2014.1041E,2014.1041SHD,2014.1041U",2016-08-04T00:00:00.000,On-site BMR Project,180,22,158,12.00,0,7,6,8,1,0,0,0,0,,22,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,37.786091477000,-122.393472930999,"{'latitude': '37.786091477', 'longitude': '-122.393472930999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-041,(5) First Construction Document Issued,Hayes Valley South HOPE VI,401,Rose,St,94102,0851,012,5,Hayes Valley,Western Addition,MOHCD,Multifamily Rental Program,0,Rehabilitation,Rental,,2020-06-30T00:00:00.000,,,2020-06-30T00:00:00.000,2021-08-30T00:00:00.000,McCormack Baron Salazar,San Francisco Housing Development Corporation,"Hayes Valley IV, LP",Not Applicable,,,,,110,109,1,99.00,0,0,16,69,17,7,0,11,1,3bd,109,0,0,0,0,0,0,0,0,0,66,0,43,0,0,0,0,0,0,0,0,0,37.774177426000,-122.428368349999,"{'latitude': '37.774177426', 'longitude': '-122.428368349999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-033,(4) Site Work Permit Issued,4200 3rd St (aka  1601 Innes Ave ),4200,3rd,St,94124,5272,045,10,Bayview Hunters Point,Bayview,OCII,Inclusionary Housing Program,0,New Construction,Rental,,,2020-06-30T00:00:00.000,,2020-12-29T00:00:00.000,2023-02-22T00:00:00.000,Christopher Joseph Harney and Christina Marino Harney Revocable Living Trust,,,Not applicable,,,2019-11-19T00:00:00.000,On-site BMR Project,85,17,68,20.0,0,4,7,5,1,0,0,0,0,,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,37.739490000000,-122.389380000000,"{'latitude': '37.73949', 'longitude': '-122.38938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-030,(6) Complete,462 Green,462,Green,St,94133,0115,018,3,North Beach,North Beach,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2016-08-19T00:00:00.000,2019-09-24T00:00:00.000,,,2019-09-24T00:00:00.000,2020-03-03T00:00:00.000,Chinatown Community Development Center,,"CCDC Small Sites, LLC",2019-003746PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2019-003746PRJ'},,,,7,7,0,100,0,1,0,6,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37.799965801000,-122.406855435999,"{'latitude': '37.799965801', 'longitude': '-122.406855435999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-052,(5) First Construction Document Issued,1201 Powell Street/900 Jackson,1201,Powell,St,94133,0180,006,3,Chinatown,Nob Hill,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2017-10-20T00:00:00.000,2020-11-23T00:00:00.000,,,2020-11-23T00:00:00.000,2021-11-15T00:00:00.000,Chinatown Community Development Center,,,Not Applicable,,,,,17,17,0,100,0,14,3,0,0,0,0,0,0,,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,37.776925131000,-122.407188981999,"{'latitude': '37.776925131', 'longitude': '-122.407188981999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-024,(3) Design with Entitlements Approved,98 Franklin,98,Franklin,St,94102,0836,013,5,Hayes Valley,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2022-05-27T00:00:00.000,2024-07-20T00:00:00.000,"98 Franklin Street, LLC",,,2016-014802PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-014802PRJ'},,2020-05-28T00:00:00.000,On-site BMR Project,345,69,276,20.0,0,0,0,10,7,0,0,0,0,,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,37.774830000000,-122.420620000000,"{'latitude': '37.77483', 'longitude': '-122.42062', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-025,(5) First Construction Document Issued,975 Bryant,975,Bryant,St,94103,3780,044,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-12-07T00:00:00.000,2019-06-27T00:00:00.000,2019-06-27T00:00:00.000,2021-08-20T00:00:00.000,Farella Braun + Martell LLP,,,2015-005862PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-005862PRJ'},"2015-005862ENV,2015-005862ENX,2015-005862PPA,2015-005862TDM",2017-10-05T00:00:00.000,On-site BMR Project,185,30,155,16.00,0,6,12,10,2,0,0,0,0,,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,37.772870792000,-122.405659208999,"{'latitude': '37.772870792', 'longitude': '-122.405659208999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-084,(4) Site Work Permit Issued,2675 Folsom,2675,Folsom,St,94110,3639,"006, 007",9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-12-07T00:00:00.000,,2019-06-07T00:00:00.000,2021-07-31T00:00:00.000,Muhammad A. Nadhiri,,,2014-000601PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-000601PRJ'},"2014-000601CUA,2014-000601ENX,2014-000601PPA",2016-09-22T00:00:00.000,On-site BMR Project,117,19,98,16.00,0,4,8,7,0,0,0,0,0,,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,37.754663184000,-122.413813723999,"{'latitude': '37.754663184', 'longitude': '-122.413813723999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-026,(5) First Construction Document Issued,342-360 5th,342-360,5th,St,94107,3753,147,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-12-21T00:00:00.000,2020-05-04T00:00:00.000,2020-05-04T00:00:00.000,2022-06-28T00:00:00.000,"Reuben, Junius & Rose, LLP",,,2015-005863PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-005863PRJ'},"2015-005863CUA,2015-005863ENV,2015-005863ENX,2015-005863PPA,2015-005863TDM",2017-10-05T00:00:00.000,On-site BMR Project,127,18,109,14.00,0,4,6,5,3,0,0,0,0,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,37.779425458000,-122.402912220999,"{'latitude': '37.779425458', 'longitude': '-122.402912220999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
